date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:47	315147/315147	---M-Z	200	added ('OK')	application/javascript	etag:%2299bc9aa0341f3d2e67dcc29cf926eada%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.30.4.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.30.4.js	(from https://xcelpv48.godaddysites.com/)
23:45:48	4314421/4314421	---M--	200	added ('OK')	image/png	etag:958062830	https://img1.wsimg.com/isteam/ip/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/kisspng-science-book-laboratory-chemistry-scho.png	C:/My%20Web%20Sites/Same/img1.wsimg.com/isteam/ip/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/kisspng-science-book-laboratory-chemistry-scho.png	(from https://xcelpv48.godaddysites.com/)
23:45:49	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%22fc9a65125820f7a58f25741f378581b9%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/d6d4a5e7530632ea/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/d6d4a5e7530632ea/script.js	(from https://xcelpv48.godaddysites.com/services)
23:45:50	79872/79872	---M-Z	200	added ('OK')	application/javascript	etag:%222cb4094fda0234b360428555ad4f20ae%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/7ea385029ecce185/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/7ea385029ecce185/script.js	(from https://xcelpv48.godaddysites.com/services)
23:45:50	496/496	---MCZ	200	added ('OK')	application/atom+xml	etag:83d12dc9d27927b87b541aa95e0e3cf4	https://xcelpv48.godaddysites.com/stempedia/f.atom	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/stempedia/f.atom	(from https://xcelpv48.godaddysites.com/stempedia)
23:45:51	192/192	---MCZ	200	added ('OK')	application/json	etag:83d12dc9d27927b87b541aa95e0e3cf4	https://xcelpv48.godaddysites.com/stempedia/f.json	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/stempedia/f.json	(from https://xcelpv48.godaddysites.com/stempedia)
23:45:52	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%22031db11f7b3eba90fd397eacf96c11b0%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/6f57ef6e96e14d2d/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/6f57ef6e96e14d2d/script.js	(from https://xcelpv48.godaddysites.com/stempedia)
23:45:52	558/558	---MCZ	200	added ('OK')	application/rss+xml	etag:83d12dc9d27927b87b541aa95e0e3cf4	https://xcelpv48.godaddysites.com/stempedia/f.rss	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/stempedia/f.rss	(from https://xcelpv48.godaddysites.com/stempedia)
23:45:52	37872/37872	---M-Z	200	added ('OK')	application/javascript	etag:%22e4baf015bef42bc502329d7fff11870a%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/214d0d99b8b343c9/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/214d0d99b8b343c9/script.js	(from https://xcelpv48.godaddysites.com/stempedia)
23:45:53	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%228e72bd2d7025d78a1c59b221306dfdd8%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/1e8f1459d05a52fc/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/1e8f1459d05a52fc/script.js	(from https://xcelpv48.godaddysites.com/about-us)
